build_table,build_table_column,regnskap_no_concept_id,note
skatt_midlertidige_forskjeller,andre_forskjeller_31_12,regnskap-no:AndreForskjeller,
skatt_midlertidige_forskjeller,sum_temp_diff_01_01,regnskap-no:SumMidlertidigeForskjeller,
skatt_midlertidige_forskjeller,sum_temp_diff_31_12,regnskap-no:SumMidlertidigeForskjeller,
skatt_midlertidige_forskjeller,fremforbart_underskudd_01_01,regnskap-no:FremforbartUnderskudd,
skatt_midlertidige_forskjeller,fremforbart_underskudd_31_12,regnskap-no:FremforbartUnderskudd,
skatt_midlertidige_forskjeller,netto_forskjeller_01_01,regnskap-no:NettoForskjeller,
skatt_midlertidige_forskjeller,netto_forskjeller_31_12,regnskap-no:NettoForskjeller,
skatt_midlertidige_forskjeller,utsatt_skatt_balansefort,regnskap-no:UtsattSkattBalansefort,
skatt_midlertidige_forskjeller,utsatt_skattefordel_01_01,regnskap-no:UtsattSkattefordelBalansefort,
skatt_midlertidige_forskjeller,utsatt_skatt_sats_pct,regnskap-no:UtsattSkattSatsPct,
skatt_midlertidige_forskjeller_konsern,anleggsmidler_temp_diff_01_01,regnskap-no:AnleggsmidlerTempDiff,
skatt_midlertidige_forskjeller_konsern,anleggsmidler_temp_diff_31_12,regnskap-no:AnleggsmidlerTempDiff,
skatt_midlertidige_forskjeller_konsern,tilvirkningskontrakter_01_01,regnskap-no:TilvirkningskontrakterTempDiff,
skatt_midlertidige_forskjeller_konsern,tilvirkningskontrakter_31_12,regnskap-no:TilvirkningskontrakterTempDiff,
skatt_midlertidige_forskjeller_konsern,fordringer_temp_diff_01_01,regnskap-no:FordringerTempDiff,
skatt_midlertidige_forskjeller_konsern,fordringer_temp_diff_31_12,regnskap-no:FordringerTempDiff,
skatt_midlertidige_forskjeller_konsern,andre_forskjeller_01_01,regnskap-no:AndreForskjeller,
skatt_midlertidige_forskjeller_konsern,andre_forskjeller_31_12,regnskap-no:AndreForskjeller,
skatt_midlertidige_forskjeller_konsern,sum_temp_diff_01_01,regnskap-no:SumMidlertidigeForskjeller,
skatt_midlertidige_forskjeller_konsern,sum_temp_diff_31_12,regnskap-no:SumMidlertidigeForskjeller,
skatt_midlertidige_forskjeller_konsern,fremforbart_underskudd_01_01,regnskap-no:FremforbartUnderskudd,
skatt_midlertidige_forskjeller_konsern,fremforbart_underskudd_31_12,regnskap-no:FremforbartUnderskudd,
skatt_midlertidige_forskjeller_konsern,netto_forskjeller_01_01,regnskap-no:NettoForskjeller,
skatt_midlertidige_forskjeller_konsern,netto_forskjeller_31_12,regnskap-no:NettoForskjeller,
